Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -3.1882       +39.5639      +36.3757      +36.3757      
1             1             -2.7402       -16.4226      -19.1628      -19.1628      
2             2             +0.278        -11.7087      -11.4307      -11.4307      
3             3             -0.7125       -15.8145      -16.527       -16.527       
4             4             +0.219        -15.3301      -15.1111      -15.1111      
5             5             +1.6437       -15.6438      -14.0001      -14.0001      
6             6             +1.5362       -16.2008      -14.6646      -14.6646      
7             7             +0.3323       -17.1666      -16.8343      -16.8343      
8             8             -0.2743       -15.8188      -16.0931      -16.0931      
9             9             -2.6073       -15.4767      -18.084       -18.084       
10            10            -5.2099       -16.2948      -21.5047      -21.5047      
11            11            -3.5653       -13.2954      -16.8607      -16.8607      
12            12            -5.5771       -15.6925      -21.2696      -21.2696      
13            13            -4.1879       -14.7242      -18.9121      -18.9121      
14            14            -4.3379       -14.0725      -18.4104      -18.4104      
15            15            -5.7393       -16.4119      -22.1512      -22.1512      
16            16            -4.8946       -15.8073      -20.7019      -20.7019      
17            17            -1.3556       -15.2699      -16.6255      -16.6255      
18            18            -2.17         -13.2243      -15.3943      -15.3943      
19            19            +1.5828       -16.6196      -15.0368      -15.0368      
20            20            -0.8128       -14.4842      -15.297       -15.297       
21            21            +0.4187       -13.5925      -13.1738      -13.1738      
22            22            -1.578        -11.5763      -13.1543      -13.1543      
23            23            -5.3457       -13.5719      -18.9176      -18.9176      
24            24            +0.485        -13.0941      -12.6091      -12.6091      
25            25            +1.9362       -13.0802      -11.144       -11.144       
26            26            +2.6635       -14.5388      -11.8753      -11.8753      
27            27            -1.1379       -12.3756      -13.5135      -13.5135      
28            28            +1.6049       -11.5841      -9.9792       -9.9792       
29            29            +1.7151       -13.514       -11.7989      -11.7989      
30            30            +1.2709       -14.2183      -12.9474      -12.9474      
31            31            +1.3804       -14.3308      -12.9504      -12.9504      
32            32            +0.4523       -12.5297      -12.0774      -12.0774      
33            33            -0.5027       -12.11        -12.6127      -12.6127      
34            34            +0.2587       -14.2582      -13.9995      -13.9995      
35            35            -2.903        -13.9395      -16.8425      -16.8425      
36            36            +1.699        -15.3315      -13.6325      -13.6325      
37            37            +2.3637       -14.2038      -11.8401      -11.8401      
38            38            -0.7509       -12.013       -12.7639      -12.7639      
39            39            +2.3377       -13.9266      -11.5889      -11.5889      
40            40            +1.3349       -15.9843      -14.6494      -14.6494      
41            41            +0.5077       -15.4949      -14.9872      -14.9872      
42            42            +0.3762       -14.6618      -14.2856      -14.2856      
43            43            -2.372        -14.3188      -16.6908      -16.6908      
44            44            +1.274        -14.7087      -13.4347      -13.4347      
45            45            +1.0818       -15.2198      -14.138       -14.138       
46            46            -0.4136       -13.2056      -13.6192      -13.6192      
47            47            +0.2587       -14.8277      -14.569       -14.569       
48            48            +0.0784       -12.3349      -12.2565      -12.2565      
49            49            -0.0728       -13.2881      -13.3609      -13.3609      
50            50            -1.346        -15.2679      -16.6139      -16.6139      
51            51            +0.0224       -12.3973      -12.3749      -12.3749      
52            52            -2.54         -14.826       -17.366       -17.366       
53            53            +1.1002       -14.9808      -13.8806      -13.8806      
54            54            -2.7031       -14.9227      -17.6258      -17.6258      
55            55            +1.6685       -14.0985      -12.43        -12.43        
56            56            +2.9453       -13.5682      -10.6229      -10.6229      
57            57            +0.9408       -14.8842      -13.9434      -13.9434      
58            58            +2.7334       -11.2186      -8.4852       -8.4852       
59            59            +2.7747       -13.0721      -10.2974      -10.2974      
60            60            +0.423        -13.4348      -13.0118      -13.0118      
61            61            -1.0467       -13.1246      -14.1713      -14.1713      
62            62            -0.6661       -13.3949      -14.061       -14.061       
63            63            +1.9589       -11.7286      -9.7697       -9.7697       
64            64            +1.0216       -10.1259      -9.1043       -9.1043       
65            65            +1.545        -13.174       -11.629       -11.629       
66            66            +0.0563       -10.735       -10.6787      -10.6787      
67            67            +0.7952       -11.6888      -10.8936      -10.8936      
68            68            +1.6497       -10.2736      -8.6239       -8.6239       
69            69            +1.6506       -11.5151      -9.8645       -9.8645       
70            70            +0.047        -9.2046       -9.1576       -9.1576       
71            71            +0.7633       -9.0904       -8.3271       -8.3271       
72            72            -0.0363       -7.4015       -7.4378       -7.4378       
73            73            -0.5232       -9.1215       -9.6447       -9.6447       
74            74            +1.7521       -10.1266      -8.3745       -8.3745       
75            75            +0.7007       -8.4962       -7.7955       -7.7955       
76            76            +0.0942       -6.3576       -6.2634       -6.2634       
77            77            -0.0051       -9.3145       -9.3196       -9.3196       
78            78            +0.652        -9.1625       -8.5105       -8.5105       
79            79            +1.855        -9.7049       -7.8499       -7.8499       
80            80            +2.4269       -11.2005      -8.7736       -8.7736       
81            81            +2.3479       -12.1766      -9.8287       -9.8287       
82            82            -0.5966       -9.9263       -10.5229      -10.5229      
83            83            -3.2212       -9.9117       -13.1329      -13.1329      
84            84            -0.5091       -11.1758      -11.6849      -11.6849      
85            85            -1.0368       -9.1435       -10.1803      -10.1803      
86            86            -1.1515       -9.1412       -10.2927      -10.2927      
87            87            -2.1563       -10.2753      -12.4316      -12.4316      
88            88            -3.233        -9.755        -12.988       -12.988       
89            89            -3.3765       -12.234       -15.6105      -15.6105      
90            90            -0.1897       -11.0206      -11.2103      -11.2103      
91            91            -1.9919       -9.6752       -11.6671      -11.6671      
92            92            -2.407        -10.3438      -12.7508      -12.7508      
93            93            -3.4417       -8.7598       -12.2015      -12.2015      
94            94            -2.9392       -11.8802      -14.8194      -14.8194      
95            95            -2.0536       -9.6261       -11.6797      -11.6797      
96            96            -1.4632       -10.9647      -12.4279      -12.4279      
97            97            -3.0849       -10.7632      -13.8481      -13.8481      
98            98            -2.658        -11.3942      -14.0522      -14.0522      
99            99            -3.4759       -10.0475      -13.5234      -13.5234      
100           100           -2.8088       -6.7359       -9.5447       -9.5447       
101           101           -1.6988       -6.0748       -7.7736       -7.7736       
102           102           -4.1643       -9.0047       -13.169       -13.169       
103           103           -2.2462       -8.5445       -10.7907      -10.7907      
104           104           -1.6114       -10.4893      -12.1007      -12.1007      
105           105           -2.4503       -10.3763      -12.8266      -12.8266      
106           106           -2.6439       -6.866        -9.5099       -9.5099       
107           107           -2.648        -8.4021       -11.0501      -11.0501      
108           108           -0.9618       -8.5504       -9.5122       -9.5122       
109           109           -0.7661       -8.5485       -9.3146       -9.3146       
110           110           -1.7453       -7.586        -9.3313       -9.3313       
111           111           +1.7415       -9.6891       -7.9476       -7.9476       
112           112           +1.7194       -9.2763       -7.5569       -7.5569       
113           113           +0.4481       -11.8028      -11.3547      -11.3547      
114           114           -6.2863       -8.515        -14.8013      -14.8013      
115           115           -1.9094       -10.2835      -12.1929      -12.1929      
116           116           -2.0743       -9.9605       -12.0348      -12.0348      
117           117           +0.046        -11.3976      -11.3516      -11.3516      
118           118           -2.4666       -10.7475      -13.2141      -13.2141      
119           119           -4.1407       -14.8066      -18.9473      -18.9473      
120           120           -6.2714       -16.3531      -22.6245      -22.6245      
121           121           -6.5033       -13.993       -20.4963      -20.4963      
122           122           -3.123        -15.2178      -18.3408      -18.3408      
123           123           +2.8173       -14.074       -11.2567      -11.2567      
124           124           -1.8836       -14.4798      -16.3634      -16.3634      
125           125           -0.3518       -16.1942      -16.546       -16.546       
126           126           -4.3576       -14.3198      -18.6774      -18.6774      
127           127           -4.1872       -11.5344      -15.7216      -15.7216      
128           128           -1.0602       -17.8173      -18.8775      -18.8775      
129           129           -2.6323       -14.743       -17.3753      -17.3753      
130           130           -3.9781       -12.8138      -16.7919      -16.7919      
131           131           -2.3035       -14.8971      -17.2006      -17.2006      
132           132           +0.3057       -11.852       -11.5463      -11.5463      
133           133           +2.6733       -13.6734      -11.0001      -11.0001      
134           134           -2.4366       -14.0777      -16.5143      -16.5143      
135           135           -1.0388       -14.951       -15.9898      -15.9898      
136           136           +0.8351       -17.2687      -16.4336      -16.4336      
137           137           +0.265        -16.1356      -15.8706      -15.8706      
138           138           +1.4851       -17.474       -15.9889      -15.9889      
139           139           +0.3477       -16.0827      -15.735       -15.735       
140           140           -2.3592       -14.3604      -16.7196      -16.7196      
141           141           -4.5568       -16.0594      -20.6162      -20.6162      
142           142           +0.149        -14.9379      -14.7889      -14.7889      
143           143           +1.8597       -12.0065      -10.1468      -10.1468      
144           144           -1.6925       -14.8542      -16.5467      -16.5467      
145           145           +4.1613       -12.1294      -7.9681       -7.9681       
146           146           -5.2382       -11.03        -16.2682      -16.2682      
147           147           -5.4457       -9.5476       -14.9933      -14.9933      
148           148           -0.8893       -11.366       -12.2553      -12.2553      
