Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -9.0793       -39.5118      -48.5911      -48.5911      
1             1             -7.2892       -17.2751      -24.5643      -24.5643      
2             2             -13.9022      -18.7545      -32.6567      -32.6567      
3             3             -12.6576      -19.5741      -32.2317      -32.2317      
4             4             -13.5148      -19.286       -32.8008      -32.8008      
5             5             -11.7677      -20.0638      -31.8315      -31.8315      
6             6             -10.8799      -23.1801      -34.06        -34.06        
7             7             -12.223       -21.4484      -33.6714      -33.6714      
8             8             -12.9838      -22.2946      -35.2784      -35.2784      
9             9             -14.0813      -24.0204      -38.1017      -38.1017      
10            10            -12.3427      -25.9797      -38.3224      -38.3224      
11            11            -14.6515      -23.2076      -37.8591      -37.8591      
12            12            -10.3548      -24.028       -34.3828      -34.3828      
13            13            -12.0637      -22.9916      -35.0553      -35.0553      
14            14            -12.2006      -24.2203      -36.4209      -36.4209      
15            15            -10.7834      -25.6678      -36.4512      -36.4512      
16            16            -7.0114       -23.1393      -30.1507      -30.1507      
17            17            -11.3818      -23.8837      -35.2655      -35.2655      
18            18            -10.364       -25.178       -35.542       -35.542       
19            19            -7.7258       -21.4124      -29.1382      -29.1382      
20            20            -11.0729      -20.3383      -31.4112      -31.4112      
21            21            -11.109       -20.8816      -31.9906      -31.9906      
22            22            -11.8722      -20.8547      -32.7269      -32.7269      
23            23            -11.5769      -18.3826      -29.9595      -29.9595      
24            24            -9.3013       -23.3151      -32.6164      -32.6164      
25            25            -7.7186       -20.1425      -27.8611      -27.8611      
26            26            -10.1387      -22.2139      -32.3526      -32.3526      
27            27            -9.4667       -22.1261      -31.5928      -31.5928      
28            28            -10.7651      -25.0413      -35.8064      -35.8064      
29            29            -7.1118       -26.9845      -34.0963      -34.0963      
30            30            -10.3926      -24.8632      -35.2558      -35.2558      
31            31            -8.8768       -22.3988      -31.2756      -31.2756      
32            32            -13.4608      -25.7555      -39.2163      -39.2163      
33            33            -16.5596      -22.0938      -38.6534      -38.6534      
34            34            -9.0659       -24.5303      -33.5962      -33.5962      
35            35            -10.0689      -25.5529      -35.6218      -35.6218      
36            36            -8.8486       -26.2267      -35.0753      -35.0753      
37            37            -12.1008      -26.9943      -39.0951      -39.0951      
38            38            -8.1139       -25.3077      -33.4216      -33.4216      
39            39            -11.1085      -28.1224      -39.2309      -39.2309      
40            40            -10.7487      -25.4294      -36.1781      -36.1781      
41            41            -10.3454      -24.0288      -34.3742      -34.3742      
42            42            -10.3631      -25.0938      -35.4569      -35.4569      
43            43            -11.3084      -24.2834      -35.5918      -35.5918      
44            44            -13.6705      -26.2557      -39.9262      -39.9262      
45            45            -10.4838      -23.3335      -33.8173      -33.8173      
46            46            -10.8048      -19.8054      -30.6102      -30.6102      
47            47            -11.0411      -26.48        -37.5211      -37.5211      
48            48            -7.2416       -27.9581      -35.1997      -35.1997      
49            49            -11.5602      -26.0784      -37.6386      -37.6386      
50            50            -6.0386       -24.94        -30.9786      -30.9786      
51            51            -11.6552      -25.0711      -36.7263      -36.7263      
52            52            -5.0764       -25.907       -30.9834      -30.9834      
53            53            -9.0277       -28.2168      -37.2445      -37.2445      
54            54            -12           -24.6495      -36.6495      -36.6495      
55            55            -12.1947      -24.1314      -36.3261      -36.3261      
56            56            -14.7689      -27.2319      -42.0008      -42.0008      
57            57            -7.8586       -27.3374      -35.196       -35.196       
58            58            -15.0858      -27.1014      -42.1872      -42.1872      
59            59            -8.0945       -23.0817      -31.1762      -31.1762      
60            60            -13.917       -25.5537      -39.4707      -39.4707      
61            61            -12.5301      -25.8293      -38.3594      -38.3594      
62            62            -13.4167      -26.6013      -40.018       -40.018       
63            63            -10.0419      -23.5891      -33.631       -33.631       
64            64            -8.158        -24.4064      -32.5644      -32.5644      
65            65            -9.2625       -29.121       -38.3835      -38.3835      
