Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -2.7646       -6.0937       -8.8583       -8.8583       
1             1             +0.4202       -23.7891      -23.3689      -23.3689      
2             2             -3.9199       -23.0587      -26.9786      -26.9786      
3             3             +1.1282       -21.3858      -20.2576      -20.2576      
4             4             -2.0457       -25.0773      -27.123       -27.123       
5             5             +0.7388       -20.1128      -19.374       -19.374       
6             6             -1.6172       -21.3939      -23.0111      -23.0111      
7             7             -1.7861       -23.9082      -25.6943      -25.6943      
8             8             -3.2663       -24.2422      -27.5085      -27.5085      
9             9             -1.5465       -24.3371      -25.8836      -25.8836      
10            10            -0.558        -22.3872      -22.9452      -22.9452      
11            11            -0.4187       -22.6777      -23.0964      -23.0964      
12            12            -3.534        -25.8532      -29.3872      -29.3872      
13            13            -0.9306       -26.8096      -27.7402      -27.7402      
14            14            +0.0787       -23.4375      -23.3588      -23.3588      
15            15            -2.1571       -27.7467      -29.9038      -29.9038      
16            16            -1.8188       -26.0898      -27.9086      -27.9086      
17            17            -5.2628       -23.9525      -29.2153      -29.2153      
18            18            -2.2041       -23.6031      -25.8072      -25.8072      
19            19            -3.7856       -25.3241      -29.1097      -29.1097      
20            20            -4.1473       -25.1962      -29.3435      -29.3435      
21            21            -2.5843       -26.805       -29.3893      -29.3893      
22            22            -2.7064       -29.3004      -32.0068      -32.0068      
23            23            -3.8482       -26.1663      -30.0145      -30.0145      
24            24            -3.8229       -25.3537      -29.1766      -29.1766      
25            25            -2.4952       -24.3494      -26.8446      -26.8446      
26            26            -2.0762       -28.212       -30.2882      -30.2882      
27            27            -5.5414       -25.6229      -31.1643      -31.1643      
28            28            -3.5957       -23.0136      -26.6093      -26.6093      
29            29            -5.4947       -26.1194      -31.6141      -31.6141      
30            30            -5.2433       -24.945       -30.1883      -30.1883      
31            31            -4.9373       -21.7126      -26.6499      -26.6499      
32            32            -3.6277       -23.0721      -26.6998      -26.6998      
33            33            -1.8999       -23.8711      -25.771       -25.771       
34            34            -6.0794       -23.1004      -29.1798      -29.1798      
35            35            -5.4524       -24.8941      -30.3465      -30.3465      
36            36            -5.0494       -22.6905      -27.7399      -27.7399      
37            37            -2.9461       -25.1435      -28.0896      -28.0896      
38            38            -3.7796       -22.5707      -26.3503      -26.3503      
39            39            -2.9468       -26.0449      -28.9917      -28.9917      
40            40            -4.0501       -23.5833      -27.6334      -27.6334      
41            41            -5.6416       -25.1698      -30.8114      -30.8114      
42            42            -2.04         -24.6501      -26.6901      -26.6901      
43            43            -4.312        -24.8751      -29.1871      -29.1871      
44            44            -5.0228       -23.928       -28.9508      -28.9508      
45            45            -0.3438       -25.1594      -25.5032      -25.5032      
46            46            -3.0597       -27.0752      -30.1349      -30.1349      
47            47            -2.4384       -27.3627      -29.8011      -29.8011      
48            48            -3.2581       -28.0275      -31.2856      -31.2856      
49            49            -0.8527       -25.4119      -26.2646      -26.2646      
50            50            -3.712        -30.5006      -34.2126      -34.2126      
51            51            -4.0879       -30.106       -34.1939      -34.1939      
52            52            -4.5288       -26.7079      -31.2367      -31.2367      
53            53            -1.4625       -23.3742      -24.8367      -24.8367      
54            54            -6.5602       -24.9183      -31.4785      -31.4785      
55            55            -1.1593       -27.5378      -28.6971      -28.6971      
56            56            +1.8525       -26.8791      -25.0266      -25.0266      
