Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -92.4086      +246.142      +153.733      +153.733      
1             1             -19.308       -13.1789      -32.4869      -32.4869      
2             2             -21.6147      -11.581       -33.1957      -33.1957      
3             3             -39.7796      -16.1413      -55.9209      -55.9209      
4             4             -53.9619      -17.0524      -71.0143      -71.0143      
5             5             -45.3764      -16.2593      -61.6357      -61.6357      
6             6             -47.7445      -16.8721      -64.6166      -64.6166      
7             7             -41.2397      -14.3966      -55.6363      -55.6363      
8             8             -38.6574      -17.2409      -55.8983      -55.8983      
9             9             -29.1969      -14.0944      -43.2913      -43.2913      
10            10            -32.1471      -17.1371      -49.2842      -49.2842      
11            11            -41.2526      -15.2819      -56.5345      -56.5345      
12            12            -42.5269      -18.1447      -60.6716      -60.6716      
13            13            -43.7964      -15.6937      -59.4901      -59.4901      
14            14            -50.5025      -18.1673      -68.6698      -68.6698      
15            15            -42.5772      -16.247       -58.8242      -58.8242      
16            16            -30.1779      -13.0185      -43.1964      -43.1964      
17            17            -33.7202      -13.1894      -46.9096      -46.9096      
18            18            -27.4096      -16.4898      -43.8994      -43.8994      
19            19            -16.3442      -13.7047      -30.0489      -30.0489      
20            20            -20.3479      -13.0898      -33.4377      -33.4377      
21            21            -15.5171      -15.9644      -31.4815      -31.4815      
22            22            -19.0734      -15.5765      -34.6499      -34.6499      
23            23            -24.2766      -14.2314      -38.508       -38.508       
24            24            -31.5251      -14.5867      -46.1118      -46.1118      
25            25            -29.2992      -15.2815      -44.5807      -44.5807      
26            26            -25.3545      -12.5137      -37.8682      -37.8682      
27            27            -36.3434      -15.9524      -52.2958      -52.2958      
28            28            -28.7967      -16.2845      -45.0812      -45.0812      
29            29            -18.1273      -13.0824      -31.2097      -31.2097      
30            30            -17.7782      -13.3439      -31.1221      -31.1221      
31            31            -18.0378      -13.2388      -31.2766      -31.2766      
32            32            -14.2651      -14.7634      -29.0285      -29.0285      
33            33            -18.9175      -15.1458      -34.0633      -34.0633      
34            34            -11.0851      -12.8757      -23.9608      -23.9608      
35            35            -15.1315      -12.4586      -27.5901      -27.5901      
36            36            -8.0694       -13.2613      -21.3307      -21.3307      
37            37            -17.8235      -11.0437      -28.8672      -28.8672      
38            38            -18.8865      -11.4121      -30.2986      -30.2986      
39            39            -9.2215       -13.1579      -22.3794      -22.3794      
40            40            -13.0731      -9.2051       -22.2782      -22.2782      
41            41            -9.6496       -8.5869       -18.2365      -18.2365      
42            42            -16.8647      -7.3203       -24.185       -24.185       
43            43            -12.0612      -8.7746       -20.8358      -20.8358      
44            44            -5.8378       -10.6236      -16.4614      -16.4614      
45            45            -7.7927       -11.5356      -19.3283      -19.3283      
46            46            -9.5811       -11.4496      -21.0307      -21.0307      
47            47            -8.5694       -12.336       -20.9054      -20.9054      
48            48            -9.9345       -10.654       -20.5885      -20.5885      
49            49            -10.2555      -10.0068      -20.2623      -20.2623      
50            50            -10.9848      -9.8026       -20.7874      -20.7874      
51            51            -8.8238       -9.0787       -17.9025      -17.9025      
52            52            -12.8333      -8.5849       -21.4182      -21.4182      
53            53            -19.4278      -7.327        -26.7548      -26.7548      
54            54            -14.2371      -8.2594       -22.4965      -22.4965      
55            55            -13.6753      -8.3778       -22.0531      -22.0531      
56            56            -10.7929      -10.0193      -20.8122      -20.8122      
57            57            -4.7942       -9.8697       -14.6639      -14.6639      
58            58            -8.5305       -9.5426       -18.0731      -18.0731      
59            59            -2.6369       -11.9423      -14.5792      -14.5792      
60            60            -4.1875       -10.7035      -14.891       -14.891       
61            61            -8.3313       -9.4605       -17.7918      -17.7918      
62            62            -6.731        -8.0192       -14.7502      -14.7502      
63            63            -5.4637       -11.6031      -17.0668      -17.0668      
64            64            -8.4525       -9.2005       -17.653       -17.653       
65            65            -8.54         -9.0429       -17.5829      -17.5829      
66            66            -9.0554       -11.6599      -20.7153      -20.7153      
67            67            -1.1022       -10.3863      -11.4885      -11.4885      
68            68            -3.9208       -10.096       -14.0168      -14.0168      
69            69            -6.7161       -10.7815      -17.4976      -17.4976      
70            70            -3.1692       -11.6963      -14.8655      -14.8655      
71            71            -17.3616      -14.8671      -32.2287      -32.2287      
72            72            -13.8459      -15.3543      -29.2002      -29.2002      
73            73            -11.057       -11.671       -22.728       -22.728       
74            74            -7.0992       -13.646       -20.7452      -20.7452      
75            75            -13.436       -14.9779      -28.4139      -28.4139      
76            76            -15.7677      -14.029       -29.7967      -29.7967      
77            77            -14.9782      -14.9555      -29.9337      -29.9337      
78            78            -18.1184      -14.8595      -32.9779      -32.9779      
79            79            -23.7704      -13.9377      -37.7081      -37.7081      
80            80            -16.8237      -15.2927      -32.1164      -32.1164      
81            81            -33.6444      -13.8402      -47.4846      -47.4846      
82            82            -30.9181      -13.9811      -44.8992      -44.8992      
83            83            -28.8745      -12.6624      -41.5369      -41.5369      
84            84            -26.3308      -13.6919      -40.0227      -40.0227      
85            85            -24.0997      -13.5586      -37.6583      -37.6583      
86            86            -14.5355      -16.0913      -30.6268      -30.6268      
87            87            -26.8099      -17.2572      -44.0671      -44.0671      
88            88            -25.9188      -13.9096      -39.8284      -39.8284      
89            89            -35.9549      -17.1183      -53.0732      -53.0732      
90            90            -27.5133      -16.426       -43.9393      -43.9393      
91            91            -36.6966      -12.001       -48.6976      -48.6976      
92            92            -42.1779      -16.9633      -59.1412      -59.1412      
93            93            -57.915       -19.7919      -77.7069      -77.7069      
94            94            -77.4816      -16.596       -94.0776      -94.0776      
95            95            -100.77       -20.7477      -121.518      -121.518      
96            96            -94.5568      -17.9768      -112.534      -112.534      
97            97            -80.9581      -21.6428      -102.601      -102.601      
98            98            -98.3061      -21.2868      -119.593      -119.593      
99            99            -93.5647      -20.1345      -113.699      -113.699      
100           100           -90.1529      -20.4157      -110.569      -110.569      
101           101           -86.2342      -19.2313      -105.466      -105.466      
102           102           -87.7124      -20.4797      -108.192      -108.192      
103           103           -94.5881      -23.7545      -118.343      -118.343      
104           104           -102.373      -20.3982      -122.772      -122.772      
105           105           -105.381      -19.8911      -125.272      -125.272      
106           106           -97.4927      -19.322       -116.815      -116.815      
107           107           -88.096       -20.8992      -108.995      -108.995      
108           108           -81.2399      -19.4476      -100.688      -100.688      
109           109           -99.6369      -19.4181      -119.055      -119.055      
110           110           -103.39       -19.0932      -122.483      -122.483      
111           111           -97.4337      -23.5947      -121.028      -121.028      
112           112           -94.9706      -19.3428      -114.313      -114.313      
113           113           -85.3113      -23.7583      -109.07       -109.07       
114           114           -82.4256      -18.2293      -100.655      -100.655      
115           115           -80.2571      -21.6081      -101.865      -101.865      
116           116           -58.1942      -19.9335      -78.1277      -78.1277      
117           117           -58.4193      -18.8089      -77.2282      -77.2282      
118           118           -61.2637      -21.1917      -82.4554      -82.4554      
119           119           -64.1654      -20.0223      -84.1877      -84.1877      
120           120           -74.8347      -21.1201      -95.9548      -95.9548      
121           121           -68.8195      -20.0853      -88.9048      -88.9048      
122           122           -73.2715      -20.8218      -94.0933      -94.0933      
123           123           -98.9639      -23.2767      -122.241      -122.241      
124           124           -91.2286      -21.4756      -112.704      -112.704      
125           125           -82.1889      -22.5761      -104.765      -104.765      
126           126           -84.2809      -20.2649      -104.546      -104.546      
127           127           -74.515       -20.8589      -95.3739      -95.3739      
128           128           -82.7238      -21.5895      -104.313      -104.313      
129           129           -83.1839      -19.2279      -102.412      -102.412      
130           130           -72.8621      -18.5887      -91.4508      -91.4508      
131           131           -76.3129      -19.2936      -95.6065      -95.6065      
132           132           -71.7904      -20.0788      -91.8692      -91.8692      
133           133           -75.3281      -21.0242      -96.3523      -96.3523      
134           134           -59.3719      -18.8511      -78.223       -78.223       
135           135           -74.6816      -21.0883      -95.7699      -95.7699      
136           136           -55.144       -16.9717      -72.1157      -72.1157      
137           137           -67.5005      -18.7915      -86.292       -86.292       
138           138           -54.2673      -18.2845      -72.5518      -72.5518      
139           139           -43.145       -13.1248      -56.2698      -56.2698      
140           140           -44.7219      -13.9462      -58.6681      -58.6681      
141           141           -56.3574      -12.6284      -68.9858      -68.9858      
142           142           -50.5744      -17.4704      -68.0448      -68.0448      
143           143           -40.1628      -17.1097      -57.2725      -57.2725      
144           144           -43.7377      -16.605       -60.3427      -60.3427      
145           145           -48.5952      -16.4422      -65.0374      -65.0374      
146           146           -49.388       -15.0026      -64.3906      -64.3906      
147           147           -49.777       -16.4681      -66.2451      -66.2451      
148           148           -28.1463      -16.9303      -45.0766      -45.0766      
149           149           -37.7201      -14.6266      -52.3467      -52.3467      
150           150           -43.17        -15.825       -58.995       -58.995       
151           151           -39.0114      -15.9573      -54.9687      -54.9687      
152           152           -48.5503      -14.8599      -63.4102      -63.4102      
153           153           -52.9016      -15.453       -68.3546      -68.3546      
154           154           -40.0745      -15.558       -55.6325      -55.6325      
155           155           -42.3001      -12.6901      -54.9902      -54.9902      
156           156           -38.2309      -14.6741      -52.905       -52.905       
157           157           -40.2764      -13.2761      -53.5525      -53.5525      
158           158           -35.2228      -14.5835      -49.8063      -49.8063      
159           159           -36.0229      -15.0904      -51.1133      -51.1133      
160           160           -43.7058      -15.0138      -58.7196      -58.7196      
161           161           -40.1755      -15.6085      -55.784       -55.784       
162           162           -38.652       -14.3533      -53.0053      -53.0053      
163           163           -41.6113      -16.1347      -57.746       -57.746       
164           164           -40.8941      -12.8956      -53.7897      -53.7897      
165           165           -24.8452      -14.5552      -39.4004      -39.4004      
166           166           -38.2898      -13.8549      -52.1447      -52.1447      
167           167           -42.367       -11.3064      -53.6734      -53.6734      
168           168           -30.2946      -12.0195      -42.3141      -42.3141      
169           169           -40.9125      -15.0917      -56.0042      -56.0042      
170           170           -35.2923      -14.2411      -49.5334      -49.5334      
171           171           -35.4687      -15.6116      -51.0803      -51.0803      
172           172           -26.3574      -12.2406      -38.598       -38.598       
173           173           -34.0284      -12.8021      -46.8305      -46.8305      
174           174           -20.3632      -12.953       -33.3162      -33.3162      
175           175           -23.725       -12.5633      -36.2883      -36.2883      
176           176           -28.4047      -14.5939      -42.9986      -42.9986      
177           177           -20.6749      -10.2092      -30.8841      -30.8841      
178           178           -16.3471      -10.4145      -26.7616      -26.7616      
179           179           -20.5726      -11.5397      -32.1123      -32.1123      
180           180           -22.8005      -12.6645      -35.465       -35.465       
181           181           -28.8566      -8.5133       -37.3699      -37.3699      
182           182           -20.1826      -7.8755       -28.0581      -28.0581      
183           183           -14.6359      -7.908        -22.5439      -22.5439      
184           184           -11.9198      -5.1993       -17.1191      -17.1191      
185           185           -10.68        -4.0931       -14.7731      -14.7731      
186           186           -10.3845      -3.6449       -14.0294      -14.0294      
187           187           -11.4235      -5.2398       -16.6633      -16.6633      
188           188           -5.7306       -3.4019       -9.1325       -9.1325       
189           189           -5.6728       -2.3479       -8.0207       -8.0207       
190           190           -3.2391       -1.9855       -5.2246       -5.2246       
191           191           -2.8991       -1.5875       -4.4866       -4.4866       
192           192           -1.8484       -1.4345       -3.2829       -3.2829       
193           193           -4.8236       -1.3882       -6.2118       -6.2118       
194           194           -3.7484       -1.6795       -5.4279       -5.4279       
195           195           -2.6703       -2.4886       -5.1589       -5.1589       
196           196           -2.8365       -2.4479       -5.2844       -5.2844       
197           197           -3.5977       -2.1411       -5.7388       -5.7388       
198           198           -3.2785       -1.4487       -4.7272       -4.7272       
199           199           -3.6279       -1.3839       -5.0118       -5.0118       
200           200           -2.7918       -0.8181       -3.6099       -3.6099       
201           201           -1.7093       -1.2276       -2.9369       -2.9369       
202           202           -2.7942       -1.2948       -4.089        -4.089        
203           203           -2.2311       -1.9429       -4.174        -4.174        
204           204           -0.7077       -1.0054       -1.7131       -1.7131       
205           205           -2.6623       -1.6619       -4.3242       -4.3242       
206           206           -2.3533       -0.9444       -3.2977       -3.2977       
207           207           -2.964        -1.8566       -4.8206       -4.8206       
208           208           -2.7281       -2.4813       -5.2094       -5.2094       
209           209           -1.187        -4.3455       -5.5325       -5.5325       
210           210           -1.0932       -4.6894       -5.7826       -5.7826       
211           211           -1.8223       -3.5088       -5.3311       -5.3311       
212           212           -2.4744       -2.3568       -4.8312       -4.8312       
213           213           +1.1032       -2.8296       -1.7264       -1.7264       
214           214           +0.0889       -3.3069       -3.218        -3.218        
215           215           -0.9987       -2.7337       -3.7324       -3.7324       
216           216           -1.4671       -3.2829       -4.75         -4.75         
217           217           -2.7144       -3.2172       -5.9316       -5.9316       
218           218           -1.2272       -2.5941       -3.8213       -3.8213       
219           219           -2.63         -2.3976       -5.0276       -5.0276       
220           220           -1.6943       -1.6946       -3.3889       -3.3889       
221           221           -2.2866       -2.673        -4.9596       -4.9596       
222           222           -2.0146       -1.9535       -3.9681       -3.9681       
223           223           -1.5049       -2.4403       -3.9452       -3.9452       
224           224           -2.7488       -2.6411       -5.3899       -5.3899       
225           225           -1.6588       -1.7474       -3.4062       -3.4062       
226           226           -1.6138       -1.1365       -2.7503       -2.7503       
227           227           -0.9858       -0.1304       -1.1162       -1.1162       
228           228           +0.868        -0.3795       +0.4885       +0.4885       
229           229           +0.0718       -0.1421       -0.0703       -0.0703       
230           230           +0.0241       -0.1001       -0.076        -0.076        
231           231           +0.0035       -0.0742       -0.0707       -0.0707       
